Year,Scheme_1,Scheme_2,Scheme_3
1,1.3232684349455852e+16,5724932691708104.0,2201886836817778.2
2,5.7360542497232237e+17,2.4814798626842064e+17,9.542749269954456e+16
3,1.0102863110441871e+18,4.370329550882914e+17,1.6803810491802605e+17
4,1.3820536083416724e+18,5.978233744768047e+17,2.2983306490580246e+17
5,1.7196121005811087e+18,7.43803630018591e+17,2.8592208036200256e+17
6,2.1197342603823352e+18,9.168403328503359e+17,3.5240705398443085e+17
7,2.29077658372382e+18,9.907882852972463e+17,3.807996470959769e+17
8,2.448247130249651e+18,1.0588540193197048e+18,4.069197318117691e+17
9,2.455088957238002e+18,1.0617704681920543e+18,4.07999791878652e+17
10,2.6157118633272463e+18,1.1312035482451174e+18,4.346491855861532e+17
11,2.848279676094271e+18,1.2317565768946524e+18,4.7326194629910394e+17
12,2.9097451634610007e+18,1.2583016809000758e+18,4.8342659807470054e+17
13,3.0811290151294285e+18,1.3323813870966577e+18,5.1185461973720595e+17
14,3.108219168900641e+18,1.3440530706958382e+18,5.162973351092176e+17
15,3.165264727069864e+18,1.3686746694286083e+18,5.257114014302382e+17
16,3.198577773349607e+18,1.383031660723353e+18,5.3118032478082144e+17
17,3.271651433648443e+18,1.4145893658241088e+18,5.432638678387432e+17
18,3.4947320690379013e+18,1.5110266897203226e+18,5.802829555872237e+17
19,3.5326115227501583e+18,1.5273562911871552e+18,5.865077350440323e+17
20,3.5810020322428995e+18,1.5482263205704343e+18,5.944720827110854e+17
21,3.5159003122993213e+18,1.52000306092732e+18,5.835617036955922e+17
22,3.608700802701042e+18,1.5600847117102106e+18,5.989134306769487e+17
23,3.7930410111701724e+18,1.6397576545706058e+18,6.294810613305288e+17
24,3.812955712871842e+18,1.648310776938313e+18,6.327108243165669e+17
25,3.945883110417941e+18,1.7057402923118083e+18,6.547229073536572e+17
26,3.949810605181089e+18,1.7073681581913198e+18,6.552808923627598e+17
27,3.977273034824895e+18,1.719177221689148e+18,6.597538794141676e+17
28,3.9851936293198853e+18,1.722533977320022e+18,6.609780594163953e+17
29,4.038326591742126e+18,1.7454463532539658e+18,6.69718999569637e+17
30,4.240528765696459e+18,1.832836203412284e+18,7.03244265320639e+17
